Experiments	Channels	Samples
eAL00219	1	carrier
eAL00219	2	reference
eAL00219	3	unused
eAL00219	4	unused
eAL00219	5	u
eAL00219	6	u
eAL00219	7	u
eAL00219	8	u
eAL00219	9	u
eAL00219	10	u
eAL00219	11	u
eAL00219	12	neg
eAL00219	13	m
eAL00219	14	m
eAL00219	15	m
eAL00219	16	m
eAL00219	17	m
eAL00219	18	m
eAL00220	1	carrier
eAL00220	2	reference
eAL00220	3	unused
eAL00220	4	unused
eAL00220	5	u
eAL00220	6	u
eAL00220	7	u
eAL00220	8	u
eAL00220	9	u
eAL00220	10	u
eAL00220	11	neg
eAL00220	12	m
eAL00220	13	m
eAL00220	14	m
eAL00220	15	m
eAL00220	16	m
eAL00220	17	m
eAL00220	18	u
eAL00221	1	carrier
eAL00221	2	reference
eAL00221	3	unused
eAL00221	4	unused
eAL00221	5	u
eAL00221	6	u
eAL00221	7	u
eAL00221	8	u
eAL00221	9	u
eAL00221	10	neg
eAL00221	11	m
eAL00221	12	m
eAL00221	13	m
eAL00221	14	m
eAL00221	15	m
eAL00221	16	m
eAL00221	17	u
eAL00221	18	u
eAL00222	1	carrier
eAL00222	2	reference
eAL00222	3	unused
eAL00222	4	unused
eAL00222	5	m
eAL00222	6	m
eAL00222	7	m
eAL00222	8	m
eAL00222	9	m
eAL00222	10	m
eAL00222	11	m
eAL00222	12	u
eAL00222	13	u
eAL00222	14	u
eAL00222	15	u
eAL00222	16	u
eAL00222	17	u
eAL00222	18	neg
eAL00223	1	carrier
eAL00223	2	reference
eAL00223	3	unused
eAL00223	4	unused
eAL00223	5	m
eAL00223	6	m
eAL00223	7	m
eAL00223	8	m
eAL00223	9	m
eAL00223	10	m
eAL00223	11	u
eAL00223	12	u
eAL00223	13	u
eAL00223	14	u
eAL00223	15	u
eAL00223	16	u
eAL00223	17	neg
eAL00223	18	m
eAL00224	1	carrier
eAL00224	2	reference
eAL00224	3	unused
eAL00224	4	unused
eAL00224	5	m
eAL00224	6	m
eAL00224	7	m
eAL00224	8	m
eAL00224	9	m
eAL00224	10	u
eAL00224	11	u
eAL00224	12	u
eAL00224	13	u
eAL00224	14	u
eAL00224	15	u
eAL00224	16	neg
eAL00224	17	m
eAL00224	18	m
eAL00225	1	carrier
eAL00225	2	reference
eAL00225	3	unused
eAL00225	4	unused
eAL00225	5	m
eAL00225	6	m
eAL00225	7	m
eAL00225	8	m
eAL00225	9	u
eAL00225	10	u
eAL00225	11	u
eAL00225	12	u
eAL00225	13	u
eAL00225	14	u
eAL00225	15	neg
eAL00225	16	m
eAL00225	17	m
eAL00225	18	m
eAL00226	1	carrier
eAL00226	2	reference
eAL00226	3	unused
eAL00226	4	unused
eAL00226	5	m
eAL00226	6	m
eAL00226	7	m
eAL00226	8	u
eAL00226	9	u
eAL00226	10	u
eAL00226	11	u
eAL00226	12	u
eAL00226	13	u
eAL00226	14	u
eAL00226	15	m
eAL00226	16	m
eAL00226	17	m
eAL00226	18	m
eAL00227	1	carrier
eAL00227	2	reference
eAL00227	3	unused
eAL00227	4	unused
eAL00227	5	m
eAL00227	6	u
eAL00227	7	u
eAL00227	8	u
eAL00227	9	u
eAL00227	10	u
eAL00227	11	u
eAL00227	12	u
eAL00227	13	neg
eAL00227	14	m
eAL00227	15	m
eAL00227	16	m
eAL00227	17	m
eAL00227	18	m
eAL00228	1	carrier
eAL00228	2	reference
eAL00228	3	unused
eAL00228	4	unused
eAL00228	5	u
eAL00228	6	u
eAL00228	7	u
eAL00228	8	u
eAL00228	9	u
eAL00228	10	u
eAL00228	11	u
eAL00228	12	neg
eAL00228	13	m
eAL00228	14	m
eAL00228	15	m
eAL00228	16	m
eAL00228	17	m
eAL00228	18	m
eAL00229	1	carrier
eAL00229	2	reference
eAL00229	3	unused
eAL00229	4	unused
eAL00229	5	u
eAL00229	6	u
eAL00229	7	u
eAL00229	8	u
eAL00229	9	u
eAL00229	10	u
eAL00229	11	neg
eAL00229	12	m
eAL00229	13	m
eAL00229	14	m
eAL00229	15	m
eAL00229	16	m
eAL00229	17	m
eAL00229	18	u
eAL00230	1	carrier
eAL00230	2	reference
eAL00230	3	unused
eAL00230	4	unused
eAL00230	5	u
eAL00230	6	u
eAL00230	7	u
eAL00230	8	u
eAL00230	9	u
eAL00230	10	neg
eAL00230	11	m
eAL00230	12	m
eAL00230	13	m
eAL00230	14	m
eAL00230	15	m
eAL00230	16	m
eAL00230	17	u
eAL00230	18	u
eAL00231	1	carrier
eAL00231	2	reference
eAL00231	3	unused
eAL00231	4	unused
eAL00231	5	m
eAL00231	6	m
eAL00231	7	m
eAL00231	8	m
eAL00231	9	m
eAL00231	10	m
eAL00231	11	m
eAL00231	12	u
eAL00231	13	u
eAL00231	14	u
eAL00231	15	u
eAL00231	16	u
eAL00231	17	u
eAL00231	18	neg
eAL00232	1	carrier
eAL00232	2	reference
eAL00232	3	unused
eAL00232	4	unused
eAL00232	5	m
eAL00232	6	m
eAL00232	7	m
eAL00232	8	m
eAL00232	9	m
eAL00232	10	m
eAL00232	11	u
eAL00232	12	u
eAL00232	13	u
eAL00232	14	u
eAL00232	15	u
eAL00232	16	u
eAL00232	17	neg
eAL00232	18	m
eAL00233	1	carrier
eAL00233	2	reference
eAL00233	3	unused
eAL00233	4	unused
eAL00233	5	m
eAL00233	6	m
eAL00233	7	m
eAL00233	8	m
eAL00233	9	m
eAL00233	10	u
eAL00233	11	u
eAL00233	12	u
eAL00233	13	u
eAL00233	14	u
eAL00233	15	u
eAL00233	16	neg
eAL00233	17	m
eAL00233	18	m
eAL00234	1	carrier
eAL00234	2	reference
eAL00234	3	unused
eAL00234	4	unused
eAL00234	5	m
eAL00234	6	m
eAL00234	7	m
eAL00234	8	m
eAL00234	9	u
eAL00234	10	u
eAL00234	11	u
eAL00234	12	u
eAL00234	13	u
eAL00234	14	u
eAL00234	15	neg
eAL00234	16	m
eAL00234	17	m
eAL00234	18	m
eAL00235	1	carrier
eAL00235	2	reference
eAL00235	3	unused
eAL00235	4	unused
eAL00235	5	m
eAL00235	6	m
eAL00235	7	m
eAL00235	8	u
eAL00235	9	u
eAL00235	10	u
eAL00235	11	u
eAL00235	12	u
eAL00235	13	u
eAL00235	14	u
eAL00235	15	m
eAL00235	16	m
eAL00235	17	m
eAL00235	18	m
eAL00236	1	carrier
eAL00236	2	reference
eAL00236	3	unused
eAL00236	4	unused
eAL00236	5	m
eAL00236	6	u
eAL00236	7	u
eAL00236	8	u
eAL00236	9	u
eAL00236	10	u
eAL00236	11	u
eAL00236	12	u
eAL00236	13	neg
eAL00236	14	m
eAL00236	15	m
eAL00236	16	m
eAL00236	17	m
eAL00236	18	m
eAL00237	1	carrier
eAL00237	2	reference
eAL00237	3	unused
eAL00237	4	unused
eAL00237	5	unused
eAL00237	6	u
eAL00237	7	u
eAL00237	8	u
eAL00237	9	u
eAL00237	10	u
eAL00237	11	u
eAL00237	12	neg
eAL00237	13	m
eAL00237	14	m
eAL00237	15	m
eAL00237	16	m
eAL00237	17	m
eAL00237	18	m
eAL00238	1	carrier
eAL00238	2	reference
eAL00238	3	unused
eAL00238	4	unused
eAL00238	5	u
eAL00238	6	u
eAL00238	7	u
eAL00238	8	u
eAL00238	9	u
eAL00238	10	u
eAL00238	11	neg
eAL00238	12	m
eAL00238	13	m
eAL00238	14	m
eAL00238	15	m
eAL00238	16	m
eAL00238	17	m
eAL00238	18	u
eAL00239	1	carrier
eAL00239	2	reference
eAL00239	3	unused
eAL00239	4	unused
eAL00239	5	u
eAL00239	6	u
eAL00239	7	u
eAL00239	8	u
eAL00239	9	u
eAL00239	10	neg
eAL00239	11	m
eAL00239	12	m
eAL00239	13	m
eAL00239	14	m
eAL00239	15	m
eAL00239	16	m
eAL00239	17	u
eAL00239	18	u
eAL00240	1	carrier
eAL00240	2	reference
eAL00240	3	unused
eAL00240	4	unused
eAL00240	5	m
eAL00240	6	m
eAL00240	7	m
eAL00240	8	m
eAL00240	9	m
eAL00240	10	m
eAL00240	11	m
eAL00240	12	u
eAL00240	13	u
eAL00240	14	u
eAL00240	15	u
eAL00240	16	u
eAL00240	17	u
eAL00240	18	neg
eAL00241	1	carrier
eAL00241	2	reference
